station_name,station_canton,area_type_de,station_type_de,year,NO2,SO2,TSP,NOx,O3,PM10,Cd im SN,Pb im SN,Staubniederschlag (SN),Tl im SN,Zn im SN,Ammoniak,EC / Russ,Benzol,Cd in PM10,CO,Partikelanzahl,Pb in PM10,PM1,PM2.5,Toluol,NMVOC
Aarau,AG,Städtisch,Verkehr,1986,41.1,25.7,49,,,,,,,,,,,,,,,,,,,
Aarau,AG,Städtisch,Verkehr,1987,32.8,22.6,40,,,,,,,,,,,,,,,,,,,
Aarau,AG,Städtisch,Verkehr,1988,30.8,14.4,37,,,,,,,,,,,,,,,,,,,
Aarau,AG,Städtisch,Verkehr,1989,35.9,12.3,51,,,,,,,,,,,,,,,,,,,
Aarau,AG,Städtisch,Verkehr,1990,38,13.3,46,,,,,,,,,,,,,,,,,,,
Aarau,AG,Städtisch,Verkehr,1991,44.1,12.3,49,,,,,,,,,,,,,,,,,,,
Aarau,AG,Städtisch,Verkehr,1992,40,11.3,40,,,,,,,,,,,,,,,,,,,
Aarau,AG,Städtisch,Verkehr,1993,35.9,10.3,45,,,,,,,,,,,,,,,,,,,
Aarau,AG,Städtisch,Verkehr,1994,34.9,8.2,41,,,,,,,,,,,,,,,,,,,
Aarau,AG,Städtisch,Verkehr,1995,34.9,9.2,38,,,,,,,,,,,,,,,,,,,
Aarau,AG,Städtisch,Verkehr,1996,31.8,8.2,41,,,,,,,,,,,,,,,,,,,
Aarau,AG,Städtisch,Verkehr,1997,28.7,8.2,35,,,,,,,,,,,,,,,,,,,
Aarau,AG,Städtisch,Verkehr,1998,24.6,8.2,32,,,,,,,,,,,,,,,,,,,
Aarau,AG,Städtisch,Verkehr,1984,,32.8,,,,,,,,,,,,,,,,,,,,
Aarau,AG,Städtisch,Verkehr,1985,,34.9,51,,,,,,,,,,,,,,,,,,,
Baden-Schönaustrasse,AG,Städtisch,Hintergrund,2002,26.7,4,,24,42.5,22.4,,,,,,,,,,,,,,,,
Baden-Schönaustrasse,AG,Städtisch,Hintergrund,2003,29.6,4.5,,27.7,49.4,26.4,,,,,,,,,,,,,,,,
Baden-Schönaustrasse,AG,Städtisch,Hintergrund,2004,26.1,3.4,,23,43.7,21.8,,,,,,,,,,,,,,,,
Baden-Schönaustrasse,AG,Städtisch,Hintergrund,2005,26.6,4.3,,23.2,43.3,22.9,,,,,,,,,,,,,,,,
Baden-Schönaustrasse,AG,Städtisch,Hintergrund,2006,25.7,4.6,,22.5,44.1,24.7,,,,,,,,,,,,,,,,
Baden-Schönaustrasse,AG,Städtisch,Hintergrund,2007,24.6,4.4,,20.9,42.5,19.3,,,,,,,,,,,,,,,,
Baden-Schönaustrasse,AG,Städtisch,Hintergrund,2008,23.6,,,21.1,41.5,18.7,,,,,,,,,,,,,,,,
Baden-Schönaustrasse,AG,Städtisch,Hintergrund,2009,22.4,,,18.5,41.6,20.4,,,,,,,,,,,,,,,,
Baden-Schönaustrasse,AG,Städtisch,Hintergrund,2010,24.5,,,20,44.2,19.2,,,,,,,,,,,,,,,,
Baden-Schönaustrasse,AG,Städtisch,Hintergrund,2011,24.4,,,22.1,42.6,20.3,,,,,,,,,,,,,,,,
Baden-Schönaustrasse,AG,Städtisch,Hintergrund,2012,23.8,,,20.2,45.4,18,,,,,,,,,,,,,,,,
Baden-Schönaustrasse,AG,Städtisch,Hintergrund,2013,23.6,,,20.7,46.8,18.9,,,,,,,,,,,,,,,,
Baden-Schönaustrasse,AG,Städtisch,Hintergrund,2014,23.4,,,20.6,41.8,15.5,,,,,,,,,,,,,,,,
Baden-Schönaustrasse,AG,Städtisch,Hintergrund,2015,24.2,,,20.9,47.3,17.7,,,,,,,,,,,,,,,,
Baden-Schulhausplatz,AG,Städtisch,Verkehr,2000,37.9,7.6,,52.5,27.5,,,,,,,,,,,,,,,,,
Baden-Schulhausplatz,AG,Städtisch,Verkehr,2001,34.8,7,,45.1,31.5,,,,,,,,,,,,,,,,,
Baden-Schulhausplatz,AG,Städtisch,Verkehr,2002,35.1,6.6,,42.7,33.8,,,,,,,,,,,,,,,,,
Lägeren,AG,Ländlich,Hintergrund,1988,22.7,6.9,,13.5,59.6,,0.65,27,38.4,,57,,,,,,,,,,,
Lägeren,AG,Ländlich,Hintergrund,1989,25.2,6.7,,15.9,62.6,,0.4,20,59.3,,43.8,,,,,,,,,,,
Lägeren,AG,Ländlich,Hintergrund,1990,22.2,6.5,,13.4,63.9,,0.33,18,50.5,0.05,50.3,,,,,,,,,,,
